Arquivo,Tela,ID,Nome,Descrição,Pré-condições,Resultado na tela,Como testar
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-CON-010,Animes da temporada e agenda,"Na faixa Animes entram títulos da temporada corrente, estreias no mês atual/próximo ou com episódio previsto nas **próximas três semanas**.",Anime fora de temporada e sem episódio próximo.,Pode não aparecer no carregamento inicial.,Anime antigo fora de exibição.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-EA-001,Ativar Em alta,Botão/controle “Em alta” na faixa troca a lista para destaques de popularidade/expectativa.,"Faixa Filmes, Séries ou Jogos.",Timeline por mês some; cards em ordem de “em alta”; sem separadores de ano TBD.,Clicar Em alta na faixa Filmes.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-EA-002,Filmes em alta ≠ populares da página Filmes,"A lista “Em alta” na home de **filmes** usa critério de **mais esperados** (antecipação de estreia), não o mesmo botão “Populares” da página Filmes.",Modo Em alta em Filmes na home.,Ordem/conjunto pode diferir da página Filmes → Populares.,Comparar os mesmos dias home Em alta vs página Filmes Populares.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-EA-003,Séries e jogos em alta,"Em Séries e Jogos, Em alta mostra títulos em destaque por popularidade/relevância do catálogo.",Modo Em alta ativo.,Lista fixa (~dezena de títulos) sem navegação por mês.,Ativar Em alta em Séries.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-EA-004,Início da lista,"Ao ativar Em alta, o carrossel vai para o **primeiro** card da lista em alta.",Toggle ligado.,Primeiro slide visível.,Ativar e ver posição.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-EA-005,Desativar volta à timeline,"Ao desligar Em alta, o carrossel retorna ao modo data e reposiciona no contexto de “hoje”.",Estava em Em alta.,Modo mês retorna; foco próximo lançamento.,Ligar e desligar Em alta.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-EA-006,Gênero em Em alta,Filtro de gênero continua disponível e lista só títulos em alta daquele gênero.,Em alta com vários gêneros.,Dropdown coerente com cards visíveis.,Filtrar gênero em Em alta.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-HERO-001,Botão “Começar agora”,O botão principal leva o usuário à faixa de filmes na mesma página.,Página inicial no topo.,"Ao clicar, a página rola suavemente até a seção Filmes; o endereço do navegador **não** precisa mudar de página.",Clicar “Começar agora” e verificar scroll até Filmes.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-HERO-002,Link “Ver jogos em alta”,O segundo botão abre a área de promoções com foco em jogos em destaque.,Página inicial no topo.,Abre a página de promoções já na aba/visualização de jogos em alta.,Clicar no link e conferir aba/conteúdo de em alta.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-SHELL-001,Menu superior e busca,"Cabeçalho do site (busca, conta, tema) está presente na home e funciona igual às outras páginas.",Qualquer estado de login.,Busca abre overlay; login leva à entrada.,Usar busca e menu no topo.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-SHELL-002,Sem popup de “consentimento +18”,Conteúdo adulto é tratado com blur e exclusão de alguns títulos; **não** há janela modal pedindo aceite de conteúdo adulto só na home.,Título adulto permitido.,"Apenas blur/exclusão, sem popup dedicado.",Navegar home com título adulto.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TBD-001,Separador de ano sem dia,"Após os títulos com dia definido, o carrossel pode mostrar bloco “Lançamentos de [ano] — sem data confirmada”.",Existem títulos com ano mas sem dia/mês confirmado.,Cartão separador + cards desses títulos **depois** da parte datada.,Rolar até o fim da timeline datada em Filmes.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TBD-002,Título ao focar TBD,"Ao parar em um separador ou card “só ano”, o título superior usa a frase de ano sem data confirmada.",Usuário focou slide TBD.,Texto “sem data confirmada” no cabeçalho do carrossel.,Focar separador de ano.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TBD-003,Anos futuros na fila,São reservados espaços para anos do ano corrente até alguns anos à frente (blocos podem ir enchendo ao rolar).,Carrossel em modo timeline (não “Em alta”).,"Ao avançar meses/anos, aparecem novos blocos TBD conforme o ano.",Rolar até virada de ano no carrossel.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-001,Título do mês no carrossel,Acima dos cards de Filmes/Séries/Jogos aparece um título do tipo “Lançamentos de [mês] de [ano]” conforme o card central/focado.,Carrossel carregado com pelo menos um título datado.,Texto em português com mês por extenso.,Abrir faixa Filmes e ler o título superior.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-002,Abrir no próximo lançamento,"Ao carregar, o carrossel posiciona o foco no **primeiro título com data hoje ou futura** dentro da janela de 90 dias.",Existe estreia futura na faixa.,"Card central (ou focado) é o próximo lançamento, não o primeiro da lista histórica.",Abrir home em dia com estreias futuras; ver qual card está ao centro.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-003,Sem futuro: último lançado,"Se não há mais nenhuma data futura na lista carregada, o foco vai para o **último título já lançado** (ainda dentro dos 90 dias).",Só passado recente na faixa.,Foco no lançamento mais recente já ocorrido.,Testar em dia sem estreias futuras carregadas.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-004,Série/anime: data do episódio,"Para séries (e posicionamento equivalente quando o card traz “próximo episódio”), a data usada na timeline é a do **próximo episódio**, se for hoje ou futuro.",Card com “próximo episódio” visível.,"Posição no carrossel coerente com a data do episódio, não só estreia da série.",Série com nova temporada distante mas ep semanal próximo.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-005,Placeholders no início,"Antes de calcular a posição, o usuário pode ver cartões cinza/esqueleto centralizados.",Primeiro acesso ou rede lenta.,Até ~10 placeholders; depois substituídos por cards reais na posição correta.,Recarregar com rede lenta na faixa Filmes.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-006,Rolagem horizontal,O usuário desliza ou usa setas para ver títulos anteriores e posteriores no tempo.,Faixa com vários cards.,Movimento horizontal; card central em destaque (anel/foco).,Arrastar carrossel e usar setas laterais.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-007,Ctrl + roda do mouse,"Com tecla Ctrl pressionada, a roda do mouse no carrossel avança/volta slides (em desktop).","Desktop, foco na faixa.",Carrossel muda de slide com Ctrl+scroll.,Testar em navegador desktop.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-008,Carregar meses ao navegar,"Ao chegar perto do fim ou início de um mês no carrossel, o sistema busca títulos do mês seguinte ou anterior.",Usuário rola vários meses para frente ou para trás.,Novos cards aparecem; título do mês no topo atualiza.,Rolar rapidamente 3–4 meses à frente.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-009,Não “pular” ao puxar o passado,"Ao incluir meses mais antigos no início da lista, a posição visual do card que o usuário estava vendo se mantém.",Usuário no meio do carrossel; sistema carrega mês anterior.,O mesmo título permanece em foco (sem salto brusco).,Rolar para trás até disparar carga de mês anterior.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-010,Setas de mudança de mês,Controles permitem saltar para o próximo/anterior **mês** com títulos (até um limite de meses vazios seguidos).,Carrossel com navegação por mês habilitada.,"Avanço/retrocesso por mês; após vários meses sem título, para de avançar em vazio.",Clicar setas de mês repetidamente.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-011,Filtro por gênero,Menu de filtro na faixa restringe os cards ao gênero escolhido.,Vários gêneros na faixa.,Só cards daquele gênero; lista de gêneros reflete o que existe nos cards carregados.,"Abrir filtro, escolher um gênero."
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-012,Troca de gênero reposiciona,"Ao mudar o gênero, o carrossel recalcula e volta a focar no “próximo lançamento” **dentro do filtro**.",Filtro alterado com resultados.,Posição inicial coerente com o subconjunto filtrado.,Filtrar gênero raro e observar card central.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-TL-013,Scroll rápido (ícone raio),Opção global de “scroll rápido” acelera a animação do carrossel e antecipa carregamento ao se aproximar da borda do mês.,Usuário ativa ícone de raio/Zap no controle da faixa (se visível).,Transições mais rápidas; mais cards pré-carregados ao rolar forte.,Ligar/desligar e comparar velocidade.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-UPD-001,Atualizar após sincronização do catálogo,"Quando o site recebe atualização em massa de títulos (em segundo plano), as faixas da home podem **atualizar sozinhas** sem o usuário recarregar a página.",Ambiente onde sync/disparo de atualização ocorre.,Cards novos ou datas alteradas após evento.,"Após sync, manter home aberta e observar."
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-UPD-002,Falha na atualização silenciosa,"Se a atualização automática falhar, a home mantém o que já estava na tela.",Falha de rede na atualização.,Sem mensagem obrigatória; conteúdo antigo permanece.,Cortar rede após sync.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-001,Conteúdo na abertura,Grade e filtros já vêm na abertura.,Catálogo OK.,Cards e selects visíveis.,Abrir Jogos.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-002,Falha na abertura,Indisponibilidade não quebra a página.,Catálogo down.,Grade vazia; filtros vazios possíveis.,Simular falha inicial.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-003,Sem recarga duplicada na abertura,Abrir Jogos não dispara loading extra imediato após a primeira pintura.,Primeira visita OK.,Estável até mudar filtro.,Abrir e aguardar.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-004,Filtros aplicados,"Gênero, plataforma, modo de jogo, ano e mês restringem a grade.",Valores específicos selecionados.,Lista coerente (ex.: só PlayStation).,Alterar cada filtro.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-005,Mês sem ano explícito,Só mês selecionado usa o **ano corrente** para lançamentos daquele mês.,Março + todos os anos.,Jogos lançados em março do ano atual.,Filtrar mês atual.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-006,Mês com ano,Mês + ano restringem ao intervalo daquele mês/ano.,Junho 2023.,Só lançamentos de jun/2023.,Combinar mês e ano.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-007,Ordem alfabética,"Sem controle “populares” na UI, ordem por nome do jogo.",Filtros em todos.,A–Z nos primeiros cards.,Ler primeiros títulos.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-008,Popularidade (catálogo interno),"Modo “populares” existe no catálogo, **sem** botão nesta página.",—,Usuário só vê ordem alfabética aqui.,Confirmar ausência de atalho Populares.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-009,Listagem mais permissiva que destaques,Jogos “fracos” (pouco hype/nota) podem aparecer em Jogos mas **não** em **Em Alta** ou algumas faixas da home.,Jogo obscuro.,Visível em Jogos; ausente em Em Alta.,Comparar mesma busca.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-010,Lote inicial na grade,~dezenas de cards visíveis; sem “carregar mais”.,Catálogo grande.,Até ~48 cards; contador segue cards visíveis (como Animes).,Contar cards vs contador.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-011,Gaveta O que vem aí,Próximos lançamentos de jogos em carrossel.,Resumo com **próximos jogos**.,Seção **O que vem aí** acima dos filtros.,Ambiente com jogos futuros.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-012,Gaveta Eventos recentes,"Destaques de eventos de games (ex.: State of Play, Nintendo Direct).",Resumo com **eventos recentes**.,Seção **Eventos recentes** com cards de evento empilhados.,Ambiente com eventos no resumo.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-013,"Loading, contador e vazio",Spinner ao filtrar; contador = quantidade na grade; empty **Nenhum jogo encontrado**.,Filtro vazio ou OK.,Comportamento igual padrão Animes.,Filtro impossível e amplo.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-014,Atualização após sync,Sync pode atualizar grade com página aberta.,Sync em andamento.,Cards mudam sem F5.,Manter Jogos aberta.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-015,Opções de filtro,"Gêneros, plataformas, modos e anos refletem jogos cadastrados; anos decrescentes.",Catálogo variado.,Menus populados coerentemente.,Abrir cada select.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-016,Preço Steam no detalhe/card,"Quando o jogo tem página na Steam, preço em reais pode aparecer após carregar (não instantâneo na grade).",Jogo com Steam cadastrado.,Preço BRL ou indicador de carregamento no detalhe/card conforme produto.,Abrir jogo Steam conhecido.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-017,Redirect para Promoções,URL antiga não tem conteúdo próprio.,Usuário acessa **/jogos-em-alta**.,"Navegador vai para **Promoções**, aba **Em Alta**.",Digitar URL legada.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-018,Menu do site,Atalho **Jogos em Alta** no cabeçalho/rodapé aponta para o mesmo destino.,Menu visível.,Clique abre Promoções na aba Em Alta.,Clicar item de menu.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-019,Quem entra no ranking,Destaques semanais priorizam jogos recentes ou com hype/nota mínima; jogos antigos sem interesse ficam de fora.,Jogo lançado há meses sem destaque.,Ausente do **Top da Semana**.,Comparar jogo antigo vs lançamento recente.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-020,Top da Semana,"Até **12** jogos em grade; os **três primeiros** com badge **#1**, **#2**, **#3**.",Pool de destaques não vazio.,Seção **Top da Semana** aberta por padrão.,Contar cards e badges.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-021,Mais jogados na Steam,Faixa horizontal só se houver dados de jogadores simultâneos.,Jogos Steam com pico de jogadores.,Seção **Mais jogados na Steam** com carrossel.,Ambiente com dados Steam.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-022,Promoções Steam (dados),Descontos Steam fortes entram no pacote de dados de Em Alta; **não** há seção separada dedicada na UI atual (ofertas Steam aparecem principalmente na aba Promoções).,Jogos com desconto alto na Steam.,Verificar ofertas na aba **Promoções** / carrossel catálogo Steam.,Comparar jogo em promo Steam entre abas.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-023,Por plataforma,Blocos PC → Xbox → PlayStation → Nintendo; até **8** jogos por bloco; bloco vazio mostra mensagem amigável.,Jogos multiplataforma.,"Switch só no bloco Nintendo, etc.",Ler seções por plataforma.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-024,Por modo de jogo,"Multijogador, cooperativo, um jogador — até 8 jogos; bloco vazio com texto explicativo.",Jogos co-op.,Título listado em **Cooperativo** quando aplicável.,Achar jogo co-op conhecido.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-025,Por categoria (gênero),Até **6** gêneros com **pelo menos 2** jogos; até 8 jogos por gênero.,Gênero com 1 só jogo.,Gênero singleton **não** vira seção.,Contar seções de gênero.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-026,Semana e métrica (modo completo),"Fora do modo compacto da aba Promoções, texto indica semana corrente e fontes (Steam + IGDB ou só IGDB).",Abrir Em Alta em contexto que mostra cabeçalho longo (se existir rota dedicada futura).,"Na aba Promoções (**compact**), semana/métrica longa **oculta**; banner de promoções visível.",Abrir `/promocoes?tab=em-alta`.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-027,Modo compacto na aba Promoções,"Dentro de Promoções, Em Alta usa layout resumido: skeleton de 6 cards, banner para **Promoções ao vivo**, sem bloco grande de semana/métrica.",Aba **Em Alta** em Promoções.,Banner “Ofertas ao vivo…” + link **Ver promoções ao vivo**; grade compacta.,Abrir aba Em Alta.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-028,Erro ao carregar,Falha ao montar Em Alta.,Catálogo/indisponibilidade simulada.,Mensagem **Não foi possível carregar os jogos em alta.**,Simular falha.
05-JOGOS.md,- **Página Jogos** — listagem completa de jogos (menu ou faixa Jogos na inicial).,RN-JOGOS-029,Conteúdo estável por sessão,Lista Em Alta não muda a cada segundo; atualiza ao reabrir aba/página.,Aba aberta.,Mesmos blocos durante navegação curta; recarregar pode atualizar.,Ficar na aba; depois F5.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-001,Rotas exigem login,Qualquer área sob Minha Lista.,Visitante não autenticado.,"Redirecionamento para tela de **Entrar**, com retorno para a página que tentou abrir após login bem-sucedido.",Anônimo tenta abrir lista de animes pelo menu.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-002,Camada de UX,O site barra acesso visual cedo; ações sensíveis ainda dependem da sessão válida.,Visitante vs logado.,Sem login não vê conteúdo da lista; logado vê dados pessoais.,Comparar anônimo (redirect) vs logado.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-010,Quatro tipos de mídia,Página inicial da Minha Lista.,Usuário logado.,"Cards: Animes, Filmes, Séries, Jogos; **somente Animes** leva a uma lista ativa hoje.",Clicar Animes vs Filmes.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-011,“Em breve”,Tipos ainda não disponíveis.,Hub aberto.,"Filmes, Séries e Jogos aparecem esmaecidos, sem link, com selo “Em breve”.",Tentar clicar Filmes no hub.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-012,Mensagem orientadora,Copy da página.,Hub aberto.,Texto explicando que a organização começa pelos animes.,Ler texto introdutório.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-020,Abas Catálogo vs Fila,Barra local em subpáginas.,Logado em Minha Lista.,Links “Catálogo Orbe” (hub) e “Fila Crunchyroll”; aba atual destacada.,Alternar entre hub e fila.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-021,Animes fora da barra,Acesso à lista de animes.,Logado.,"A lista de animes não aparece na barra lateral; acesso via hub, header “Mais” ou atalhos.",Confirmar links da nav vs entrada por animes.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-030,Exige login na tela,Renderização client-side.,Sessão expirada na página.,Redireciona para Entrar; nada da lista é mostrado.,Abrir rota futura sem cookie.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-031,Carregar lista pessoal,Dados do usuário.,Logado.,Grid de obras conforme filtros; falha de permissão → Entrar.,Aplicar filtros e recarregar.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-032,Filtro por status,Abas de estado.,Lista com itens variados.,"Abas: Tudo, Quero assistir, Acompanhando, Favoritos, Assistidos/jogados.",Clicar cada aba.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-033,Filtro por tipo,Chips de mídia.,Lista mista.,"Chips: todos, filme, série, anime, jogo restringem o grid.",Filtrar só jogos.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-034,Itens ocultos,Status “oculto” / não me interessa.,Itens marcados como ocultos.,Não aparecem na lista visível.,Marcar “não me interessa” e voltar à lista.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-035,Status ao vivo,Alterações recentes nos cards.,Mudar status em outra tela sem recarregar.,Lista reflete ação mais recente do usuário sobre o card.,Favoritar na home → abrir minha lista.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-036,Aviso de itens faltantes,Obras salvas fora do catálogo atual.,Conta com referências antigas.,Mensagem com quantidade de itens não encontrados no catálogo.,Conta de teste com `missingCount` se existir.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-037,Listas vazias,Sem itens ou filtro sem match.,Lista vazia vs filtros restritivos.,Mensagens diferentes para “nada na lista” vs “nenhum item neste filtro”.,Zerar filtros vs filtro impossível.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-040,Visitante,Fallback se a página carregar sem sessão.,Usuário não logado (cenário raro nesta rota).,CTA “Entrar no Orbe”; em fluxo normal o redirect de RN-LISTA-001 ocorre antes.,Validar RN-LISTA-001; esta regra cobre mensagem na página se aplicável.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-041,Carregar ao abrir,Lista de animes pessoal.,Logado.,"Ao entrar na página, lista e estados carregam automaticamente.",Abrir animes logado.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-042,Última sincronização,Informação de frescor dos dados.,Conta com/sem sync prévia.,Data/hora da última sync ou texto de nunca sincronizado.,Conta nova vs conta com extensão.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-043,Ações da barra,Ferramentas no topo.,Página animes.,"Botões: atualizar lista, importar backup de arquivo, importar demo (ambiente QA).",Clicar atualizar; importar arquivo demo se disponível.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-044,Banners informativos,Topo da página.,Página carregada.,Banners de offline e opt-in de notificações push quando aplicável.,Simular offline; ver banner.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-045,Painel da extensão,Integração Crunchyroll.,Página animes.,Bloco com status da extensão do navegador e opção de verificar de novo.,Com/sem extensão instalada.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-046,Filtros da watchlist,Abas locais.,Lista com vários estados.,"Abas: todos, em andamento (continuar/seguir), começar, terminado, dublagem PT-BR; contagens por aba.",Alternar abas e contar itens.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-047,Lista vazia orientada,Sem animes na lista.,Zero itens.,Mensagem e CTAs diferentes se extensão instalada (conectar) vs não instalada (instalar).,Conta vazia com/sem extensão.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-048,Remover item,Exclusão de um anime.,Item na lista.,Diálogo de confirmação do navegador antes de remover.,Remover um título → cancelar e confirmar.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-049,Editar progresso,Temporada/episódio assistido.,Item com progresso.,Modal de edição; salvar atualiza card.,Editar S2 E5 → salvar.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-050,Feedback de sync/import,Após atualizar ou importar.,Operação concluída.,Banner verde ou vermelho com opção fechar.,Sync com sucesso e com erro.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-051,Modo offline,Sem rede após já ter dados.,Lista já carregada uma vez.,Itens anteriores permanecem visíveis offline quando possível.,Carregar → offline → recarregar.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-052,Backup antigo,Import de arquivo legado.,Arquivo backup formato antigo.,Campos normalizados (identificadores e status antigos mapeados) após import.,Importar backup legado de QA.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-053,Adicionar do catálogo,Inclusão manual.,Logado.,Fluxo “adicionar do catálogo Orbe” refresca a lista após incluir.,Adicionar anime pelo catálogo interno.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-060,Exige login,Mesmo padrão das demais rotas.,Anônimo.,Redirect para Entrar.,Abrir fila sem login.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-061,Ordem da fila,Prioridade de assistir.,Logado com fila populada.,Ordem: **Continuar** → **A seguir** → **Começar** (conforme descrição no cabeçalho da página).,Validar ordem dos blocos/linhas.
10-MINHA-LISTA.md,"área **Minha Lista** do site (menu do usuário, menu “Mais” ou atalhos equivalentes), exclusiva para quem entrou na conta.",RN-LISTA-062,Estados especiais,Espera de dublagem ou episódio.,Itens nesses estados.,Rótulos em destaque âmbar para “esperando dublagem” e “esperando episódio”.,Itens de teste nesses estados.
